Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.9775280898876417,0.4430379746835442,0.6509920862484231,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.30379746835443033,0.7935543066865466,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8651685393258433,0.45569620253164544,0.9175364147264595,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9101123595505634,0.5232067510548523,0.7551324693198761,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9662921348314626,0.2784810126582278,0.5963986695721987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8202247191011232,0.20253164556962025,0.7519210918683336,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.2784810126582278,0.713613946553504,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9325842696629216,0.2616033755274261,0.8054822800779906,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8314606741573058,0.5021097046413502,0.9060672095423788,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9662921348314626,0.2616033755274261,0.6715219635279276,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.3628691983122362,0.8257827732538136,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.8539325842696641,0.4599156118143459,0.8968918453951142,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.3755274261603375,0.7799059525174906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.8876404494382015,0.4852320675105485,0.77130404862943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.9775280898876417,0.28691983122362863,0.7477921780020644,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8539325842696641,0.4261603375527425,0.8068585847000803,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
